index,x,y
0,360901.482845423,4065847.16224805
1,360904.56268738,4065847.29042081
2,360907.436470658,4065847.74417606
3,360910.159002185,4065848.34918307
4,360913.184037214,4065848.34918307
5,360915.906568741,4065848.95419007
6,360918.477848516,4065850.16420408
7,360921.351631794,4065851.07171459
8,360924.527918575,4065852.2817286
9,360927.250450102,4065853.64299437
10,360930.12423338,4065855.76051889
11,360933.149268409,4065858.02929516
12,360935.871799936,4065860.44932319
13,360938.896834965,4065863.02060296
14,360941.619366492,4065865.59188274
15,360943.888142764,4065868.16316251
16,360946.005667285,4065871.33944929
17,360948.123191806,4065874.96949133
18,360949.030702314,4065878.59953336
19,360950.694471581,4065882.5320789
20,360952.642448625,4065885.40586218
21,360953.91894065,4065890.24591823
22,360953.800927905,4065894.17846376
23,360953.800927905,4065898.26226105
24,360953.498424402,4065902.19480659
25,360953.195920899,4065906.42985563
26,360953.044669147,4065910.51365292
27,360952.137158639,4065914.44619846
28,360951.532151633,4065918.83249926
29,360950.019634118,4065922.91629655
30,360947.902109597,4065927.45384909
31,360946.087088579,4065930.63013587
32,360944.12081581,4065934.10892615
33,360941.700787787,4065936.83145768
34,360939.129508011,4065940.00774446
35,360936.104472982,4065942.73027599
36,360932.776934449,4065944.99905226
37,360928.239381905,4065947.57033204
38,360925.063095124,4065949.2341013
39,360921.58430484,4065950.44411531
40,360917.572056846,4065951.9934882
41,360912.865811975,4065953.40703819
42,360908.476842653,4065954.05878392
43,360904.112738398,4065954.24617103
44,360900.808322385,4065954.12090363
45,360896.397895177,4065954.27841889
46,360891.51166442,4065953.8386727
47,360887.257453209,4065953.20841919
48,360883.475932132,4065951.47522203
49,360879.536847676,4065950.52984176
50,360875.597763221,4065950.05715163
51,360872.446495657,4065948.63908122
52,360869.925481605,4065946.43319393
53,360866.774214041,4065944.38487001
54,360864.095636611,4065941.70629258
55,360862.047312695,4065940.1306588
56,360859.526298643,4065937.29451799
57,360857.005284592,4065933.82812367
58,360854.799397297,4065930.51929273
59,360853.066200137,4065927.8407153
60,360851.01787622,4065924.53188436
61,360849.914932572,4065921.38061679
62,360848.698316349,4065917.91422247
63,360847.302191346,4065913.50244788
64,360845.973875331,4065908.3028564
65,360845.939970837,4065903.57595505
66,360845.607891833,4065900.10956073
67,360846.229669223,4065895.85534952
68,360847.017486114,4065891.91626507
69,360848.120429761,4065888.44987075
70,360849.538500165,4065884.82591305
71,360850.483880434,4065880.88682859
72,360852.374640973,4065876.94774414
73,360854.42296489,4065873.16622306
74,360855.998598672,4065869.54226536
75,360857.88935921,4065866.07587104
76,360860.410373262,4065863.23973023
77,360862.931387313,4065860.40358942
78,360865.925091499,4065857.40988524
79,360868.761232307,4065855.20399794
80,360872.700316762,4065852.84054727
81,360876.166711083,4065851.10735011
82,360879.160415269,4065849.21658957
83,360883.257063103,4065847.16826565
84,360887.03858418,4065846.06532201
85,360892.655639992,4065845.37190146
86,360897.404697625,4065845.79205586
87,360901.080396744,4065853.94251912
88,360903.477591822,4065854.58177114
89,360907.313103947,4065855.38083617
90,360911.787868092,4065856.02008819
91,360914.984128196,4065857.29859223
92,360918.659827315,4065859.05653529
93,360922.495339439,4065860.81447835
94,360926.171038558,4065863.21167342
95,360929.527111667,4065866.72755954
96,360932.563558766,4065869.60419363
97,360935.600005864,4065873.75933177
98,360937.837387937,4065877.9144699
99,360939.595330994,4065881.11073
100,360941.513087056,4065885.10605513
101,360942.951404103,4065888.62194125
102,360944.549534155,4065892.61726638
103,360944.70934716,4065897.09203052
104,360944.070095139,4065901.72660767
105,360943.910282134,4065905.88174581
106,360942.951404103,4065910.35650995
107,360940.873835035,4065914.9910871
108,360939.275704984,4065918.34716021
109,360936.718696901,4065922.98173736
110,360934.321501823,4065926.49762348
111,360931.285054724,4065929.85369659
112,360928.088794621,4065933.3695827
113,360926.171038558,4065935.92659078
114,360922.655152444,4065938.32378586
115,360918.340201304,4065940.40135493
116,360914.344876175,4065942.638737
117,360910.349551045,4065943.59761503
118,360905.235534879,4065944.07705405
119,360902.039274776,4065945.03593208
120,360896.286006589,4065945.19574508
121,360890.852364413,4065944.07705405
122,360886.857039283,4065942.95836301
123,360882.542088143,4065942.478924
124,360878.067323998,4065940.56116793
125,360875.190689905,4065938.32378586
126,360872.633681822,4065935.60696477
127,360869.437421718,4065932.41070467
128,360867.04022664,4065930.49294861
129,360863.524340526,4065925.53874545
130,360861.286958453,4065921.70323332
131,360859.529015396,4065918.98641223
132,360857.131820319,4065915.31071311
133,360856.172942288,4065910.83594897
134,360856.013129282,4065907.16024985
135,360856.172942288,4065902.5256727
136,360856.332755293,4065898.69016058
137,360856.812194308,4065893.73595741
138,360857.771072339,4065889.74063228
139,360859.369202391,4065884.78642912
140,360861.446771459,4065880.950917
141,360863.364527521,4065877.59484389
142,360865.122470578,4065873.75933177
143,360867.679478661,4065870.24344565
144,360870.715925759,4065867.36681156
145,360872.953307832,4065864.64999047
146,360876.309380941,4065862.25279539
147,360879.66545405,4065859.69578731
148,360883.98040519,4065857.13877923
149,360888.455169335,4065855.38083617
150,360892.61030747,4065854.58177114
151,360896.765445604,4065854.26214513
