index,x,y
0,360900.032854613,4065846.42527127
1,360903.669994638,4065846.3816405
2,360907.471977081,4065846.77862537
3,360911.576042307,4065847.69063987
4,360915.680107534,4065848.75465678
5,360919.936175177,4065849.66667127
6,360924.040240403,4065851.7947051
7,360928.296308046,4065854.53074858
8,360932.096368441,4065857.26679206
9,360936.200433668,4065859.85083313
10,360939.696489231,4065863.3468887
11,360942.888539963,4065866.99494668
12,360945.472581032,4065870.33899982
13,360947.752617269,4065873.37904814
14,360949.576646258,4065876.72310129
15,360951.400675248,4065881.28317376
16,360953.255130182,4065887.05926556
17,360953.726350402,4065891.77134045
18,360953.809958096,4065896.63541776
19,360954.307769191,4065901.04348782
20,360953.644660243,4065905.75556271
21,360953.340655412,4065911.07564726
22,360951.820631254,4065916.69973664
23,360950.452609511,4065920.95580429
24,360948.932585353,4065925.36387435
25,360946.652549116,4065929.31593716
26,360944.372512879,4065933.42000238
27,360941.78847181,4065937.22006278
28,360939.204430742,4065940.26011109
29,360935.556372762,4065944.06017149
30,360932.516324446,4065945.88420048
31,360929.172271299,4065947.70822947
32,360925.372210904,4065949.53225846
33,360922.028157756,4065950.74827778
34,360918.501412697,4065952.30852887
35,360913.611783749,4065953.26692038
36,360909.47880087,4065954.39347712
37,360905.274401004,4065954.73877951
38,360900.83206219,4065954.92962641
39,360897.325455545,4065954.64369743
40,360893.184492263,4065954.3251618
41,360888.884261163,4065953.84735834
42,360884.584030062,4065952.89175143
43,360881.239405873,4065951.13980542
44,360878.372585139,4065950.0249307
45,360874.709425313,4065949.2285916
46,360871.364801124,4065947.79518124
47,360868.179444753,4065944.76909268
48,360865.153356201,4065942.53934322
49,360862.286535467,4065939.67252249
50,360860.056786008,4065937.76130867
51,360857.030697455,4065935.21302357
52,360855.278751452,4065932.18693502
53,360853.845341085,4065928.84231083
54,360852.093395081,4065925.81622228
55,360850.500716895,4065922.94940154
56,360849.226574347,4065919.60477735
57,360847.812263527,4065915.30454625
58,360846.945840298,4065910.04870824
59,360846.353360865,4065905.74847714
60,360846.216388968,4065899.53703222
61,360845.351563926,4065895.0775333
62,360845.715490498,4065889.82169529
63,360847.148900865,4065885.04366073
64,360849.219382506,4065880.90269745
65,360850.174989417,4065877.08026981
66,360851.926935421,4065872.46150307
67,360853.997417062,4065869.2761467
68,360856.227166521,4065865.61298687
69,360858.297648162,4065862.90543396
70,360861.642272351,4065859.72007759
71,360864.827628722,4065856.05691776
72,360867.853717274,4065853.19009703
73,360872.472484012,4065850.80107975
74,360876.613447294,4065848.41206247
75,360881.072946213,4065846.9786521
76,360886.647319861,4065845.70450955
77,360891.852605748,4065845.32447993
78,360896.167649293,4065845.26342332
79,360899.867048507,4065855.50067756
80,360903.246652185,4065855.98347808
81,360906.787189371,4065856.94907913
82,360910.810527083,4065858.55841422
83,360912.419862168,4065857.27094615
84,360912.902662693,4065856.3053451
85,360913.546396727,4065855.33974405
86,360913.707330236,4065854.374143
87,360913.707330236,4065860.1677493
88,360916.604133388,4065861.29428386
89,360920.788404609,4065863.06455246
90,360924.168008287,4065864.51295403
91,360927.064811439,4065866.92695666
92,360930.283481609,4065869.82375981
93,360933.502151778,4065874.49083156
94,360941.870694219,4065868.37535823
95,360940.583226151,4065869.50189279
96,360939.134824575,4065870.46749385
97,360935.916154405,4065876.42203366
98,360938.008290015,4065879.80163734
99,360940.100425626,4065883.34217452
100,360940.905093168,4065887.36551224
101,360941.870694219,4065891.22791644
102,360942.514428253,4065895.57312117
103,360942.83629527,4065899.75739239
104,360942.031627727,4065903.7807301
105,360941.870694219,4065907.96500132
106,360939.939492117,4065911.66647202
107,360938.330157032,4065914.56327517
108,360937.364555982,4065919.06941341
109,360935.594287388,4065922.7708841
110,360933.502151778,4065926.47235479
111,360930.927215643,4065929.36915795
112,360927.708545473,4065931.78316057
113,360924.972675829,4065934.03622969
114,360921.593072151,4065936.77209934
115,360918.052534965,4065938.70330144
116,360915.155731812,4065940.63450354
117,360912.097995151,4065942.08290512
118,360908.557457964,4065943.20943968
119,360905.82158832,4065943.85317371
120,360901.315450083,4065944.17504073
121,360897.45304588,4065944.01410722
122,360893.751575185,4065944.01410722
123,360890.211037998,4065944.01410722
124,360885.865833269,4065943.20943968
125,360883.934631168,4065941.92197161
126,360879.911293456,4065940.15170302
127,360876.692623286,4065938.38143442
128,360873.795820134,4065935.64556478
129,360872.186485049,4065933.87529618
130,360870.255282947,4065931.13942654
131,360867.84128032,4065929.04729093
132,360866.392878744,4065926.79422181
133,360864.622610151,4065923.57555164
134,360863.174208574,4065920.35688147
135,360862.208607523,4065917.1382113
136,360861.082072964,4065913.2758071
137,360859.955538405,4065910.05713693
138,360858.34620332,4065907.16033378
139,360857.541535778,4065903.94166361
140,360857.380602269,4065900.0792594
141,360857.702469286,4065895.57312117
142,360858.668070337,4065890.74511591
143,360859.955538405,4065886.07804417
144,360861.403939981,4065882.859374
145,360863.6570091,4065879.1579033
146,360866.553812252,4065875.13456559
147,360868.645947862,4065873.20336349
148,360872.02555154,4065869.34095929
149,360876.370756269,4065865.47855508
150,360879.589426439,4065863.38641947
151,360883.451830642,4065860.65054983
152,360887.636101863,4065858.71934773
153,360891.176639049,4065857.11001264
154,360895.521843778,4065855.66161107
155,360931.731883185,4065930.334759
156,360932.697484236,4065931.13942654
157,360933.663085287,4065931.94409408
158,360897.613979388,4065954.47478527
159,360897.613979388,4065953.67011773
160,360897.613979388,4065953.1873172
161,360897.774912897,4065952.06078264
162,360897.935846405,4065951.2561151
163,360897.935846405,4065950.61238107
164,360898.096779914,4065949.96864703
165,360898.257713422,4065949.324913
