index,x,y
0,360901.646672377,4065845.98513915
1,360905.057281596,4065846.09573604
2,360908.41352483,4065846.70596208
3,360911.617211554,4065847.31618812
4,360915.58368083,4065848.07897067
5,360918.482254533,4065849.29942276
6,360921.685941256,4065850.51987484
7,360925.347297511,4065852.35055297
8,360929.313766788,4065854.63890063
9,360932.364897001,4065856.62213527
10,360935.416027214,4065858.75792642
11,360938.009487895,4065860.74116106
12,360940.450392065,4065863.79229127
13,360943.043852746,4065866.38575195
14,360945.179643895,4065869.58943867
15,360947.315435044,4065873.25079493
16,360949.451226193,4065876.75959467
17,360951.12934781,4065880.57350744
18,360952.395733394,4065884.08230719
19,360953.486595718,4065888.50644599
20,360954.489696412,4065893.23569782
21,360954.686133737,4065897.65983663
22,360954.63179589,4065902.54164497
23,360953.716456826,4065906.66067076
24,360953.563900315,4065911.08480957
25,360952.190891719,4065914.89872233
26,360950.817883124,4065918.86519161
27,360949.444874528,4065923.13677391
28,360947.919309421,4065927.2557997
29,360946.241187804,4065931.22226897
30,360944.105396655,4065934.4259557
31,360942.122162017,4065937.47708591
32,360939.681257847,4065940.37565961
33,360936.477571123,4065943.1216768
34,360933.731553932,4065945.25746795
35,360930.680423719,4065947.3932591
36,360927.781850017,4065948.30859816
37,360923.81538074,4065949.98671978
38,360921.075016839,4065951.23945155
39,360917.744309078,4065952.03854179
40,360912.724689157,4065953.00128273
41,360908.420427408,4065953.18703797
42,360903.555111484,4065953.69107191
43,360899.293396836,4065954.19608918
44,360894.991858125,4065954.70346476
45,360891.447675682,4065954.25625846
46,360886.503427806,4065953.45879913
47,360883.951557935,4065952.50184793
48,360880.442736862,4065951.38540486
49,360875.33899712,4065949.79048619
50,360871.351700446,4065947.71709192
51,360868.799830575,4065944.84623831
52,360866.088468837,4065942.29436844
53,360861.622696562,4065939.42351484
54,360859.389810425,4065936.39316936
55,360856.837940554,4065933.68180763
56,360855.083530017,4065930.97044589
57,360854.126578816,4065928.89705162
58,360852.212676412,4065924.75026308
59,360850.298774009,4065921.08195014
60,360848.462155503,4065917.4136372
61,360846.586895048,4065912.94786492
62,360845.649264821,4065907.84412518
63,360845.977909042,4065903.21886104
64,360846.456384643,4065898.91258063
65,360846.456384643,4065895.88223516
66,360846.456384643,4065892.21392222
67,360846.934860244,4065888.70510115
68,360847.891811445,4065885.35577194
69,360848.370287046,4065882.32542647
70,360850.124697583,4065878.3381298
71,360851.560124385,4065875.62676806
72,360853.155043055,4065872.11794698
73,360855.228437325,4065867.97115844
74,360856.982847862,4065866.37623977
75,360859.056242132,4065863.18640243
76,360862.884046939,4065858.56113829
77,360865.43591681,4065856.96621962
78,360869.423213484,4065854.25485789
79,360872.294067089,4065851.86247988
80,360875.483904428,4065850.74603681
81,360879.152217368,4065848.51315068
82,360882.18256284,4065847.39670761
83,360886.32935138,4065846.28026454
84,360890.316648054,4065845.4828052
85,360894.435356606,4065845.10209944
86,360898.436354379,4065845.20188101
87,360901.33139677,4065854.36951525
88,360905.673960356,4065855.012858
89,360909.051509813,4065855.97787213
90,360913.233237711,4065856.94288626
91,360917.093294232,4065858.39040746
92,360920.953350753,4065860.96377847
93,360923.687557456,4065863.53714949
94,360926.582599847,4065865.46717775
95,360928.995135173,4065867.39720601
96,360931.568506187,4065869.80974133
97,360934.141877201,4065873.18729079
98,360936.554412527,4065877.04734731
99,360939.127783541,4065880.58573246
100,360940.414469048,4065884.28495329
101,360942.344497309,4065888.46668119
102,360943.952854193,4065892.64840908
103,360943.792018504,4065898.11682249
104,360942.827004374,4065902.78105745
105,360942.022825932,4065907.28445673
106,360941.701154555,4065912.10952738
107,360940.25363336,4065917.09543372
108,360937.841098034,4065921.27716162
109,360935.106891331,4065924.3330397
110,360932.855191694,4065927.71058915
111,360930.603492057,4065931.08813861
112,360926.743435535,4065933.82234531
113,360924.009228833,4065935.59153788
114,360920.310008,4065938.1649089
115,360915.806608725,4065940.73827991
116,360912.107387892,4065941.86412973
117,360908.569002747,4065942.82914386
118,360904.065603473,4065943.79415799
119,360900.36638264,4065943.95499368
