index,Long,Lat,UTM_X,UTM_Y,Cov_00
0,126.314479,33.305557,249961.5167,3688380.89200000,0.00000000
1,126.31448,33.305558,249961.6204,3688381.05600000,0.00000000
2,126.314481,33.30556,249961.7151,3688381.22300000,0.00000000
3,126.314482,33.305561,249961.8217,3688381.38800000,0.00000000
4,126.314483,33.305563,249961.9135,3688381.55100000,0.00000000
5,126.314484,33.305564,249962.0146,3688381.71800000,0.00000000
6,126.314485,33.305566,249962.1167,3688381.87600000,0.00000000
7,126.314487,33.305567,249962.2226,3688382.03900000,0.00000000
8,126.314488,33.305569,249962.3302,3688382.20600000,0.00000000
9,126.314488,33.30557,249962.4128,3688382.38700000,0.00000000
10,126.314489,33.305572,249962.5017,3688382.56300000,0.00000000
11,126.31449,33.305574,249962.5793,3688382.72900000,0.00000000
12,126.314491,33.305575,249962.6552,3688382.90800000,0.00000000
13,126.314492,33.305577,249962.7363,3688383.08900000,0.00000000
14,126.314493,33.305579,249962.8118,3688383.27300000,0.00000000
15,126.314493,33.30558,249962.8827,3688383.46000000,0.00000000
16,126.314494,33.305582,249962.9613,3688383.63900000,0.00000000
17,126.314495,33.305584,249963.0251,3688383.82100000,0.00000000
18,126.314495,33.305585,249963.0807,3688384.00200000,0.00000000
19,126.314496,33.305587,249963.1496,3688384.18000000,0.00000000
20,126.314497,33.305588,249963.2367,3688384.35700000,0.00000000
21,126.314497,33.30559,249963.294,3688384.54700000,0.00000000
22,126.314498,33.305592,249963.348,3688384.72700000,0.00000000
23,126.314498,33.305593,249963.4062,3688384.91600000,0.00000000
24,126.314499,33.305595,249963.4568,3688385.10700000,0.00000000
25,126.314499,33.305597,249963.4891,3688385.29300000,0.00000000
26,126.3145,33.305599,249963.5318,3688385.48700000,0.00000000
27,126.3145,33.3056,249963.5724,3688385.67100000,0.00000000
28,126.3145,33.305602,249963.6066,3688385.85100000,0.00000000
29,126.314501,33.305604,249963.6383,3688386.04100000,0.00000000
30,126.314501,33.305605,249963.6684,3688386.22500000,0.00000000
31,126.314501,33.305607,249963.6983,3688386.41700000,0.00000000
32,126.314501,33.305609,249963.7298,3688386.60700000,0.00000000
33,126.314502,33.30561,249963.7597,3688386.79600000,0.00000000
34,126.314502,33.305612,249963.7842,3688386.99400000,0.00000000
35,126.314502,33.305614,249963.8076,3688387.19000000,0.00000000
36,126.314502,33.305616,249963.8363,3688387.37300000,0.00000000
37,126.314503,33.305617,249963.8686,3688387.56700000,0.00000000
38,126.314503,33.305619,249963.8869,3688387.76500000,0.00000000
39,126.314503,33.305621,249963.9056,3688387.96200000,0.00000000
40,126.314503,33.305623,249963.9298,3688388.14500000,0.00000000
41,126.314503,33.305624,249963.9554,3688388.33600000,0.00000000
42,126.314504,33.305626,249963.9735,3688388.52700000,0.00000000
43,126.314504,33.305628,249964.0033,3688388.71900000,0.00000000
44,126.314504,33.30563,249964.0338,3688388.91500000,0.00000000
45,126.314504,33.305631,249964.0562,3688389.11200000,0.00000000
46,126.314504,33.305633,249964.0724,3688389.29800000,0.00000000
47,126.314504,33.305635,249964.0892,3688389.48500000,0.00000000
48,126.314505,33.305637,249964.1062,3688389.68200000,0.00000000
49,126.314505,33.305638,249964.1223,3688389.86900000,0.00000000
50,126.314505,33.30564,249964.1353,3688390.05200000,0.00000000
51,126.314505,33.305642,249964.1394,3688390.24300000,0.00000000
52,126.314505,33.305643,249964.1319,3688390.43600000,0.00000000
53,126.314505,33.305645,249964.1347,3688390.63200000,0.00000000
54,126.314505,33.305647,249964.1481,3688390.82900000,0.00000000
55,126.314505,33.305649,249964.1663,3688391.01900000,0.00000000
56,126.314505,33.30565,249964.1848,3688391.21500000,0.00000000
57,126.314505,33.305652,249964.203,3688391.40600000,0.00000000
58,126.314505,33.305654,249964.2328,3688391.59800000,0.00000000
59,126.314506,33.305656,249964.2528,3688391.79500000,0.00000000
60,126.314506,33.305657,249964.2702,3688391.99300000,0.00000000
61,126.314506,33.305659,249964.2835,3688392.18600000,0.00000000
62,126.314506,33.305661,249964.2885,3688392.38200000,0.00000000
63,126.314506,33.305663,249964.303,3688392.57600000,0.00000000
64,126.314506,33.305664,249964.3192,3688392.77500000,0.00000000
65,126.314506,33.305666,249964.3343,3688392.96900000,0.00000000
66,126.314506,33.305668,249964.3283,3688393.16800000,0.00000000
67,126.314506,33.30567,249964.3148,3688393.36000000,0.00000000
68,126.314506,33.305671,249964.2939,3688393.55100000,0.00000000
69,126.314505,33.305673,249964.2657,3688393.73500000,0.00000000
70,126.314505,33.305675,249964.2431,3688393.92400000,0.00000000
71,126.314505,33.305676,249964.2149,3688394.11100000,0.00000000
72,126.314504,33.305678,249964.1879,3688394.29600000,0.00000000
73,126.314504,33.30568,249964.1627,3688394.49000000,0.00000000
74,126.314503,33.305682,249964.1286,3688394.68300000,0.00000000
75,126.314503,33.305683,249964.1087,3688394.87600000,0.00000000
76,126.314503,33.305685,249964.0809,3688395.06800000,0.00000000
77,126.314502,33.305687,249964.0472,3688395.25500000,0.00000000
78,126.314502,33.305688,249964.0076,3688395.44600000,0.00000000
79,126.314502,33.30569,249963.9806,3688395.63700000,0.00000000
80,126.314501,33.305692,249963.9519,3688395.83000000,0.00000000
81,126.314501,33.305694,249963.9227,3688396.02400000,0.00000000
82,126.314501,33.305695,249963.8948,3688396.22100000,0.00000000
83,126.3145,33.305697,249963.8702,3688396.40700000,0.00000000
84,126.3145,33.305699,249963.8411,3688396.59600000,0.00000000
85,126.314499,33.3057,249963.8019,3688396.78000000,0.00000000
86,126.314499,33.305702,249963.7539,3688396.97400000,0.00000000
87,126.314498,33.305704,249963.7082,3688397.16900000,0.00000000
88,126.314498,33.305706,249963.6669,3688397.36000000,0.00000000
89,126.314497,33.305707,249963.6186,3688397.55200000,0.00000000
90,126.314497,33.305709,249963.5746,3688397.74500000,0.00000000
91,126.314496,33.305711,249963.5308,3688397.93600000,0.00000000
92,126.314496,33.305712,249963.4807,3688398.12000000,0.00000000
93,126.314495,33.305714,249963.4362,3688398.30900000,0.00000000
94,126.314494,33.305716,249963.384,3688398.49000000,0.00000000
95,126.314494,33.305717,249963.3248,3688398.67300000,0.00000000
96,126.314493,33.305719,249963.2747,3688398.85700000,0.00000000
97,126.314493,33.305721,249963.2226,3688399.04900000,0.00000000
98,126.314492,33.305722,249963.1713,3688399.23800000,0.00000000
99,126.314491,33.305724,249963.1192,3688399.42900000,0.00000000
100,126.31449,33.305726,249963.0428,3688399.61100000,0.00000000
101,126.31449,33.305727,249962.9833,3688399.79500000,0.00000000
102,126.314489,33.305729,249962.9312,3688399.98300000,0.00000000
103,126.314489,33.305731,249962.8779,3688400.16400000,0.00000000
104,126.314488,33.305732,249962.8155,3688400.35300000,0.00000000
105,126.314487,33.305734,249962.7534,3688400.54100000,0.00000000
106,126.314486,33.305736,249962.6927,3688400.72200000,0.00000000
107,126.314486,33.305737,249962.6265,3688400.90700000,0.00000000
108,126.314485,33.305739,249962.5613,3688401.08900000,0.00000000
109,126.314484,33.305741,249962.494,3688401.27000000,0.00000000
110,126.314483,33.305742,249962.4258,3688401.44500000,0.00000000
111,126.314482,33.305744,249962.3492,3688401.62600000,0.00000000
112,126.314482,33.305745,249962.2825,3688401.81100000,0.00000000
113,126.314481,33.305747,249962.2215,3688401.98500000,0.00000000
114,126.31448,33.305749,249962.1484,3688402.15900000,0.00000000
115,126.314479,33.30575,249962.0713,3688402.33000000,0.00000000
116,126.314478,33.305752,249961.9874,3688402.49800000,0.00000000
117,126.314477,33.305753,249961.8938,3688402.66900000,0.00000000
118,126.314476,33.305755,249961.7984,3688402.84300000,0.00000000
119,126.314475,33.305756,249961.709,3688403.01900000,0.00000000
120,126.314474,33.305758,249961.6288,3688403.18200000,0.00000000
121,126.314473,33.305759,249961.5385,3688403.35300000,0.00000000
122,126.314472,33.305761,249961.4463,3688403.52300000,0.00000000
123,126.314471,33.305762,249961.3592,3688403.68200000,0.00000000
124,126.31447,33.305764,249961.2637,3688403.85600000,0.00000000
125,126.314469,33.305765,249961.1725,3688404.02900000,0.00000000
126,126.314468,33.305767,249961.0798,3688404.20100000,0.00000000
127,126.314467,33.305768,249960.9848,3688404.37600000,0.00000000
128,126.314466,33.30577,249960.8929,3688404.55100000,0.00000000
129,126.314465,33.305771,249960.7892,3688404.72200000,0.00000000
130,126.314464,33.305773,249960.6881,3688404.89000000,0.00000000
131,126.314463,33.305774,249960.5926,3688405.04800000,0.00000000
132,126.314461,33.305776,249960.4869,3688405.20700000,0.00000000
133,126.31446,33.305777,249960.3855,3688405.37300000,0.00000000
134,126.314459,33.305778,249960.2869,3688405.53200000,0.00000000
135,126.314458,33.30578,249960.1824,3688405.70000000,0.00000000
136,126.314457,33.305781,249960.0912,3688405.86400000,0.00000000
137,126.314456,33.305783,249960.0078,3688406.03600000,0.00000000
138,126.314455,33.305784,249959.925,3688406.20700000,0.00000000
139,126.314454,33.305786,249959.8401,3688406.37600000,0.00000000
140,126.314453,33.305788,249959.7475,3688406.55100000,0.00000000
141,126.314452,33.305789,249959.6531,3688406.72300000,0.00000000
142,126.314451,33.305791,249959.5574,3688406.88500000,0.00000000
143,126.31445,33.305792,249959.4584,3688407.04800000,0.00000000
144,126.314449,33.305793,249959.3563,3688407.22000000,0.00000000
145,126.314448,33.305795,249959.2529,3688407.37900000,0.00000000
146,126.314447,33.305796,249959.1556,3688407.54100000,0.00000000
147,126.314446,33.305798,249959.0614,3688407.71400000,0.00000000
148,126.314444,33.305799,249958.9558,3688407.87400000,0.00000000
149,126.314443,33.305801,249958.846,3688408.03900000,0.00000000
150,126.314442,33.305802,249958.7379,3688408.20300000,0.00000000
151,126.314441,33.305804,249958.6281,3688408.36800000,0.00000000
