index,x,y
0,360949.18215979286,4065900.4202151047
1,360950.5798112797,4065902.8710486675
2,360949.35004723485,4065906.3128066305
3,360949.6548405457,4065909.569585129
4,360947.4665116447,4065912.142530998
5,360946.9242153872,4065915.613197243
6,360945.4748492549,4065918.501182388
7,360944.33940876013,4065922.4292784585
8,360943.95936784515,4065923.636758956
9,360942.57108144974,4065926.368979269
10,360940.79247277975,4065929.082132308
11,360939.1862865709,4065932.8877359997
12,360935.7248181539,4065935.2414243403
13,360933.95345057506,4065935.934737401
14,360932.00609492324,4065939.7865729844
15,360929.04053838574,4065940.4907528334
16,360927.2904899261,4065943.0459336634
17,360923.04106314626,4065943.3363158805
18,360920.30843300465,4065946.355164502
19,360918.70442964084,4065946.2051311745
20,360914.5936344799,4065947.020684092
21,360911.63102189644,4065947.6285058586
22,360909.2555907188,4065949.3802742003
23,360905.671431835,4065949.3168239323
24,360902.8077523517,4065949.6286022332
25,360899.3794043889,4065950.412352446
26,360895.8872336489,4065949.9682721323
27,360892.13611599436,4065948.94474891
28,360889.3482301656,4065949.8491091677
29,360887.4550652781,4065948.6424370133
30,360884.0216316662,4065946.775649662
31,360880.62460839975,4065946.6054841857
32,360877.43618872453,4065945.488116035
33,360874.9378225003,4065944.2208138388
34,360871.4463993734,4065941.562876922
35,360869.0010132629,4065940.083665711
36,360867.3807586366,4065936.857039777
37,360864.9405423432,4065935.7187932287
38,360862.47674144845,4065933.0366006424
39,360860.5163937433,4065930.210801156
40,360858.1439982381,4065927.5589941326
41,360857.89909391414,4065925.6650900557
42,360855.42836535274,4065923.311189114
43,360854.41788298043,4065920.838022265
44,360852.4287075597,4065916.5856604385
45,360851.37798385386,4065913.3905090294
46,360852.0941683193,4065910.137627377
47,360851.56097187847,4065907.824977341
48,360850.03549231024,4065905.112256222
49,360850.35274070647,4065900.9074318334
50,360850.51279422897,4065897.87484888
51,360849.9847143467,4065895.638419931
52,360850.99060657853,4065891.560797339
53,360851.3396509746,4065888.699738735
54,360852.9976653336,4065885.422993269
55,360853.68548927933,4065883.8838769975
56,360854.32727642014,4065879.8348286706
57,360856.3473556412,4065877.798354566
58,360856.67492758465,4065875.257463022
59,360859.8006624581,4065871.6258370522
60,360859.89969110425,4065869.3865873283
61,360862.8741281205,4065865.709008307
62,360864.16431269,4065864.8561449493
63,360867.36209505325,4065863.186603479
64,360870.6231304832,4065860.199711131
65,360872.47278931405,4065858.6808267995
66,360875.15602437936,4065856.208581249
67,360878.4354726944,4065855.495807986
68,360881.6224545054,4065853.539478616
69,360884.17753542186,4065853.718115085
70,360885.77331417013,4065850.951085087
71,360890.59211954894,4065851.560497362
72,360893.35431757005,4065851.1329273004
73,360895.3646926183,4065849.874629614
74,360898.69792491983,4065850.7231456935
75,360901.47473407857,4065849.5634132647
76,360905.7750678498,4065850.2757732486
77,360907.90336022637,4065851.4863638375
78,360912.01091993396,4065850.9511594772
79,360914.3055565994,4065851.3752292474
80,360917.09355652117,4065853.658216576
81,360920.140031197,4065855.4553089654
82,360923.5215247831,4065856.075711912
83,360925.49303398817,4065856.929426493
84,360929.2130682082,4065860.036999545
85,360932.2571862664,4065861.03088962
86,360932.94759983494,4065863.0937724514
87,360935.2608897094,4065865.599634402
88,360939.1380926122,4065868.390422949
89,360940.9276884116,4065870.0077244197
90,360941.49039333925,4065873.94287833
91,360943.17812419997,4065876.562836586
92,360944.62372936215,4065878.389524902
93,360947.40577785246,4065882.200047978
94,360947.9621605761,4065884.0339136766
95,360947.65763350384,4065888.1567280013
96,360949.96610561287,4065890.2735364204
97,360950.16768939834,4065894.478527486
98,360950.11207843485,4065896.4361650385
99,360949.75312151073,4065899.278958018
